Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Chappathi with Chettinad Veg Masala,2,187
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Veg Kal Dosai Combo,2,188
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Idyappam & Chettinad Veg Masala,2,189
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Chapathi bindi masala,2,190
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Chapathi Mixed veg curry,2,191
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Chicken 65 Biryani Meal,2,200
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Mutton Biryani Chicken Chukka,2,201
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Veg Masala with Chapati,2,202
4/18/2017,CH,BreakFast,DLF,Anjappar Porur,Chettinad Chicken with Chapati,2,203
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
4/18/2017,CH,,,,,,
