Date,City,Session,Outlet,Restaurant,ItemName,Quantity,MasterID
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,2 Idly Vada Combo,5,1344
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,Pongal & Vada,5,1348
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,Mini Onion Dosa combo,2,1354
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,2 Idly Vada Combo,6,1344
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,Pongal & Vada,9,1348
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,Mini Onion Dosa combo,6,1354
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,Thatte Idly with Vada,6,1351
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,Thatte Idly with Vada,3,1351
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,Poori Sagu ,3,1373
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,Poori Sagu ,7,1373
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,3 Idly Sambar ,2,1343
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,Mini Idly,5,1347
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,Podi Idly,3,1349
31-05-2017,BN,BreakFast,HUI,Vasudev Adigas,Set Dosa - 3 Pcs,2,1374
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,2 Idly Vada Combo,1,1344
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,Pongal & Vada,1,1348
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,Mini Onion Dosa combo,2,1354
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,Thatte Idly with Vada,1,1351
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,Poori Sagu ,2,1373
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,Mini Idly,1,1347
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,Podi Idly,2,1349
31-05-2017,BN,BreakFast,MTP,Vasudev Adigas,Set Dosa - 3 Pcs,2,1374
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,Mini Idly,9,1347
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,Podi Idly,9,1349
31-05-2017,BN,BreakFast,ANZ,Vasudev Adigas,Set Dosa - 3 Pcs,8,1374
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,2 Idly Vada Combo,1,1344
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,Pongal & Vada,1,1348
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,Mini Onion Dosa combo,1,1354
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,Thatte Idly with Vada,1,1351
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,Poori Sagu ,1,1373
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,Mini Idly,1,1347
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,Podi Idly,1,1349
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,2 Idly Vada Combo,2,1344
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,Pongal & Vada,3,1348
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,Mini Onion Dosa combo,2,1354
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,Thatte Idly with Vada,1,1351
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,Poori Sagu ,3,1373
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,Mini Idly,1,1347
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,Podi Idly,1,1349
31-05-2017,BN,BreakFast,APT,Vasudev Adigas,Set Dosa - 3 Pcs,2,1374
31-05-2017,BN,BreakFast,ADS,Vasudev Adigas,Set Dosa - 3 Pcs,1,1374
31-05-2017,BN,Lunch,HUI,Chungwah,New Hot & Spicy Chicken & Chicken Hunan Fried Rice,3,1411
31-05-2017,BN,Lunch,ADS,Chungwah,New Hot & Spicy Chicken & Chicken Hunan Fried Rice,4,1411
31-05-2017,BN,Lunch,ANZ,Chungwah,New Hot & Spicy Chicken & Chicken Hunan Fried Rice,4,1411
31-05-2017,BN,Lunch,APT,Chungwah,New Hot & Spicy Chicken & Chicken Hunan Fried Rice,4,1411
31-05-2017,BN,Lunch,HUI,Chungwah,New Hunan Chicken & Chicken Noodles,2,1408
31-05-2017,BN,Lunch,HUI,Vasudev Adigas,Lemon rice combo,4,1356
31-05-2017,BN,Lunch,MTP,Vasudev Adigas,Puliogare combo,3,1357
31-05-2017,BN,Lunch,ADS,Vasudev Adigas,Bisibele Bath Combo,3,1358
31-05-2017,BN,Lunch,ADS,Vasudev Adigas,Puliogare combo,2,1357
31-05-2017,BN,Lunch,APT,Vasudev Adigas,Bisibele Bath Combo,3,1358
